NOP      0000'0000'0000'0000
SPM      1001'0101'1111'1000 (v-viiii: AVRxm | AVRxt)
SPM      1001'0101'1110'1000 (XXX) or (i-iv: AVRxm | AVRxt)
ELPM     1001'0101'1101'1000 (i)
LPM      1001'0101'1100'1000 (i)
WDR      1001'0101'1010'1000
BREAK    1001'0101'1001'1000
SLEEP    1001'0101'1000'1000
EICALL   1001'0101'0001'1001
RETI     1001'0101'0001'1000 two cases depending on devices
ICALL    1001'0101'0000'1001
RET      1001'0101'0000'1000 two cases depending on devices
CLI      1001'0100'1111'1000
CLT      1001'0100'1110'1000
CLH      1001'0100'1101'1000
CLS      1001'0100'1100'1000
CLV      1001'0100'1011'1000
CLN      1001'0100'1010'1000
CLZ      1001'0100'1001'1000
CLC      1001'0100'1000'1000
SEI      1001'0100'0111'1000
SET      1001'0100'0110'1000
SEH      1001'0100'0101'1000
SES      1001'0100'0100'1000
SEV      1001'0100'0011'1000
SEN      1001'0100'0010'1000
EIJMP    1001'0100'0001'1001
SEZ      1001'0100'0001'1000
IJMP     1001'0100'0000'1001
SEC      1001'0100'0000'1000
SBRS     1111'111r'rrrr'0bbb
SBRC     1111'110r'rrrr'0bbb
BST      1111'101d'dddd'0bbb
BLD      1111'100d'dddd'0bbb
BRID     1111'01kk'kkkk'k111
BRTC     1111'01kk'kkkk'k110
BRHC     1111'01kk'kkkk'k101
BRGE     1111'01kk'kkkk'k100
BRVC     1111'01kk'kkkk'k011
BRPL     1111'01kk'kkkk'k010
BRNE     1111'01kk'kkkk'k001
BRCC     1111'01kk'kkkk'k000
BRSH     1111'01kk'kkkk'k000
BRBC     1111'01kk'kkkk'ksss
BRIE     1111'00kk'kkkk'k111
BRTS     1111'00kk'kkkk'k110
BRHS     1111'00kk'kkkk'k101
BRLT     1111'00kk'kkkk'k100
BRVS     1111'00kk'kkkk'k011
BRMI     1111'00kk'kkkk'k010
BREQ     1111'00kk'kkkk'k001
BRCS     1111'00kk'kkkk'k000
BRLO     1111'00kk'kkkk'k000
BRBS     1111'00kk'kkkk'ksss
SER      1110'1111'dddd'1111
LDI      1110'KKKK'dddd'KKKK
RCALL    1101'kkkk'kkkk'kkkk
RJMP     1100'kkkk'kkkk'kkkk
OUT      1011'1AAr'rrrr'AAAA
IN       1011'0AAd'dddd'AAAA
STS      1010'1kkk'dddd'kkkk (AVRrc only)
LDS      1010'0kkk'dddd'kkkk (AVRrc only)
ST(y)    10q0'qq1r'rrrr'1qqq (iv)
ST(z)    10q0'qq1r'rrrr'0qqq (iv)
LD(y)    10q0'qq0d'dddd'1qqq (iv)
LD(z)    10q0'qq0d'dddd'0qqq (iv)
MUL      1001'11rd'dddd'rrrr
SBIS     1001'1011'AAAA'Abbb
